,Unnamed: 0,fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name,city,LATITUDE,LONGITUDE,weather
0,0,1545782400,WN,WN,WN,5257,WN,N8656B,5257,10792,BUF,"Buffalo, NY",13232,MDW,"Chicago, IL",1750,1749.0,-1.0,18.0,1807.0,1834.0,5.0,1840,1839.0,-1.0,0,,0,N,110.0,110.0,87.0,1,468,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
1,1,1514851200,DL,DL_CODESHARE,DL,3394,9E,N325PQ,3394,10792,BUF,"Buffalo, NY",12478,JFK,"New York, NY",1339,1403.0,24.0,36.0,1439.0,1533.0,8.0,1515,1541.0,26.0,0,,0,N,96.0,98.0,54.0,1,301,0.0,18.0,2.0,0.0,6.0,,,,,Buffalo,42.94052,-78.73217,cloudy
2,2,1514851200,DL,DL_CODESHARE,DL,3502,9E,N906XJ,3502,10792,BUF,"Buffalo, NY",12953,LGA,"New York, NY",1159,1628.0,269.0,60.0,1728.0,1817.0,7.0,1324,1824.0,300.0,0,,0,N,85.0,116.0,49.0,1,292,0.0,269.0,31.0,0.0,0.0,,,,,Buffalo,42.94052,-78.73217,cloudy
3,3,1548806400,WN,WN,WN,327,WN,,327,10792,BUF,"Buffalo, NY",10821,BWI,"Baltimore, MD",525,,,,,,,645,,,1,B,0,N,80.0,,,1,281,,,,,,,,,,Buffalo,42.94052,-78.73217,snow
5,5,1546473600,UA,UA_CODESHARE,UA,4882,C5,N14186,4882,10792,BUF,"Buffalo, NY",11618,EWR,"Newark, NJ",600,552.0,-8.0,35.0,627.0,717.0,10.0,738,727.0,-11.0,0,,0,N,98.0,95.0,50.0,1,282,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
7,7,1545523200,WN,WN,WN,3308,WN,N262WN,3308,10792,BUF,"Buffalo, NY",13204,MCO,"Orlando, FL",1220,1312.0,52.0,7.0,1319.0,1542.0,4.0,1500,1546.0,46.0,0,,0,N,160.0,154.0,143.0,1,1011,7.0,0.0,0.0,0.0,39.0,,,,,Buffalo,42.94052,-78.73217,cloudy
8,8,1575244800,DL,DL_CODESHARE,DL,5173,9E,N320PQ,5173,10792,BUF,"Buffalo, NY",10721,BOS,"Boston, MA",602,617.0,15.0,91.0,748.0,900.0,10.0,736,910.0,94.0,0,,0,N,94.0,173.0,72.0,1,395,0.0,15.0,79.0,0.0,0.0,,,,,Buffalo,42.94052,-78.73217,cloudy
9,9,1545436800,UA,UA_CODESHARE,UA,4883,C5,N11181,4883,10792,BUF,"Buffalo, NY",11618,EWR,"Newark, NJ",935,929.0,-6.0,23.0,952.0,1042.0,11.0,1110,1053.0,-17.0,0,,0,N,95.0,84.0,50.0,1,282,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
11,11,1546732800,DL,DL_CODESHARE,DL,5540,9E,N308PQ,5540,10792,BUF,"Buffalo, NY",10721,BOS,"Boston, MA",1155,1142.0,-13.0,10.0,1152.0,1249.0,4.0,1341,1253.0,-48.0,0,,0,N,106.0,71.0,57.0,1,395,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
12,12,1517961600,B6,B6,B6,2001,B6,N316JB,2001,10792,BUF,"Buffalo, NY",12478,JFK,"New York, NY",532,524.0,-8.0,28.0,552.0,646.0,5.0,700,651.0,-9.0,0,,0,N,88.0,87.0,54.0,1,301,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
14,14,1550016000,WN,WN,WN,214,WN,N281WN,214,10792,BUF,"Buffalo, NY",10821,BWI,"Baltimore, MD",1840,,,,,,,2000,,,1,B,0,N,80.0,,,1,281,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
15,15,1551225600,B6,B6,B6,2101,B6,N228JB,2101,10792,BUF,"Buffalo, NY",12478,JFK,"New York, NY",801,751.0,-10.0,19.0,810.0,904.0,4.0,926,908.0,-18.0,0,,0,N,85.0,77.0,54.0,1,301,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
17,17,1515801600,AA,AA_CODESHARE,AA,3365,MQ,N532EA,3365,10792,BUF,"Buffalo, NY",13930,ORD,"Chicago, IL",1149,1157.0,8.0,10.0,1207.0,1221.0,8.0,1245,1229.0,-16.0,0,,0,N,116.0,92.0,74.0,1,474,,,,,,,,,,Buffalo,42.94052,-78.73217,snow
18,18,1549670400,WN,WN,WN,5588,WN,N783SW,5588,10792,BUF,"Buffalo, NY",11697,FLL,"Fort Lauderdale, FL",725,728.0,3.0,14.0,742.0,1027.0,3.0,1035,1030.0,-5.0,0,,0,N,190.0,182.0,165.0,1,1166,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
